medicament,allergen
NAPROXEN,SALICYLATES
NAPROXEN,DICLOFENAC
NAPROXEN,ALUMINUM
NAPROXEN,TYRAMINE
NAPROXEN,NAPROXEN
NAPROXEN,ASPIRIN
GLIMEPIRIDE,SALICYLATES
GLIMEPIRIDE,TETRACYCLINES
GLIMEPIRIDE,CLARITHROMYCIN
GLIMEPIRIDE,SULFONAMIDES
LEVOTHYROXINE LIOTHYRONINE,TYRAMINE
CALCIUM ACETATE,CALCIUM
CALCIUM ACETATE,TETRACYCLINES
CALCIUM ACETATE,CIPROFLOXACIN
CALCIUM ACETATE,FLUOROQUINOLONES
ETODOLAC,PHENOL
ETODOLAC,ASPIRIN
SERTRALINE HYDROCHLORIDE,ASPIRIN
DRONABINOL,CLARITHROMYCIN
DRONABINOL,ERYTHROMYCIN
FLUDROCORTISONE ACETATE,ASPIRIN
LACOSAMIDE,CALCIUM
AMPHETAMINE SULFATE,AMPHETAMINES
AMPHETAMINE SULFATE,PHOSPHATE
AMPHETAMINE SULFATE,CARBONATE
AMPHETAMINE SULFATE,BICARBONATE
AMPHETAMINE SULFATE,HISTAMINE
OLANZAPINE,ALUMINUM
OLANZAPINE,ETHANOL
ONDANSETRON HYDROCHLORIDE,TRAMADOL
AZITHROMYCIN,AZITHROMYCIN
AZITHROMYCIN,MACROLIDES
DIVALPROEX SODIUM,ASPIRIN
METOCLOPRAMIDE,ETHANOL
TRAMADOL HYDROCHLORIDE,TRAMADOL
TRAMADOL HYDROCHLORIDE,ERYTHROMYCIN
TRAMADOL HYDROCHLORIDE,BUPRENORPHINE
ALLOPURINOL,AMOXICILLIN
ALLOPURINOL,PEG
ALLOPURINOL,AMPICILLIN
LIDOCAINE HYDROCHLORIDE,SALICYLIC ACID
LIDOCAINE HYDROCHLORIDE,ARTICAINE
LIDOCAINE HYDROCHLORIDE,NITRITES
LIDOCAINE HYDROCHLORIDE,BUPIVACAINE
LIDOCAINE HYDROCHLORIDE,BENZOCAINE
LIDOCAINE HYDROCHLORIDE,LIDOCAINE
LIDOCAINE HYDROCHLORIDE,PROCAINE
LIDOCAINE HYDROCHLORIDE,SULFONAMIDES
LIDOCAINE HYDROCHLORIDE,PRILOCAINE
LIDOCAINE HYDROCHLORIDE,NITRATES
OSELTAMIVIR PHOSPHATE,PHOSPHATE
OSELTAMIVIR PHOSPHATE,AMOXICILLIN
OSELTAMIVIR PHOSPHATE,CALCIUM
OSELTAMIVIR PHOSPHATE,CARBONATE
OSELTAMIVIR PHOSPHATE,ALUMINUM
OSELTAMIVIR PHOSPHATE,ASPIRIN
LAMIVUDINE AND ZIDOVUDINE,SORBITOL
DULOXETINE HYDROCHLORIDE,AMPHETAMINES
DULOXETINE HYDROCHLORIDE,ALUMINUM
DULOXETINE HYDROCHLORIDE,ASPIRIN
DULOXETINE HYDROCHLORIDE,CIPROFLOXACIN
DULOXETINE HYDROCHLORIDE,ETHANOL
PREDNISONE,SALICYLATES
PREDNISONE,ERYTHROMYCIN
PREDNISONE,TYRAMINE
PREDNISONE,ASPIRIN
PREDNISONE,CIPROFLOXACIN
PREDNISONE,LEVOFLOXACIN
PREDNISONE,FLUOROQUINOLONES
LEVONORGESTREL AND ETHINYL ESTRADIOL,SALICYLIC ACID
LEVONORGESTREL AND ETHINYL ESTRADIOL,MORPHINE
EZETIMIBE AND SIMVASTATIN,CALCIUM
EZETIMIBE AND SIMVASTATIN,CLARITHROMYCIN
EZETIMIBE AND SIMVASTATIN,ERYTHROMYCIN
EZETIMIBE AND SIMVASTATIN,TYRAMINE
LEFLUNOMIDE,KETOPROFEN
LEFLUNOMIDE,CIPROFLOXACIN
LEFLUNOMIDE,PENICILLIN
VERAPAMIL HYDROCHLORIDE,CALCIUM
VERAPAMIL HYDROCHLORIDE,ERYTHROMYCIN
VERAPAMIL HYDROCHLORIDE,ASPIRIN
VERAPAMIL HYDROCHLORIDE,NITRATES
AMPICILLIN SODIUM AND SULBACTAM SODIUM,AMPICILLIN
ZIPRASIDONE,AMPHETAMINES
GLIPIZIDE,SALICYLATES
GLIPIZIDE,CALCIUM
GLIPIZIDE,SULFONAMIDES
CLOPIDOGREL BISULFATE,MORPHINE
AMOXICILLIN,AMOXICILLIN
AMOXICILLIN,TETRACYCLINES
AMOXICILLIN,SULFONAMIDES
AMOXICILLIN,AMPICILLIN
AMOXICILLIN,MACROLIDES
AMOXICILLIN,PENICILLIN
TRAZODONE HYDROCHLORIDE,TRAMADOL
TRAZODONE HYDROCHLORIDE,CLARITHROMYCIN
TRAZODONE HYDROCHLORIDE,FENTANYL
TRAZODONE HYDROCHLORIDE,ASPIRIN
SEVELAMER CARBONATE,CARBONATE
SEVELAMER CARBONATE,PHENOL
SEVELAMER CARBONATE,CIPROFLOXACIN
IBUPROFEN,ASPIRIN
IBUPROFEN,IBUPROFEN
SIMVASTATIN,CALCIUM
SIMVASTATIN,CLARITHROMYCIN
SIMVASTATIN,ERYTHROMYCIN
DILTIAZEM HYDROCHLORIDE,CALCIUM
LEVOTHYROXINE SODIUM,SALICYLATES
LEVOTHYROXINE SODIUM,PHOSPHATE
LEVOTHYROXINE SODIUM,SOY
LEVOTHYROXINE SODIUM,CALCIUM
LEVOTHYROXINE SODIUM,CARBONATE
LEVOTHYROXINE SODIUM,HEPARIN
LEVOTHYROXINE SODIUM,ALUMINUM
LEVOTHYROXINE SODIUM,TYRAMINE
INDOMETHACIN,SALICYLATES
INDOMETHACIN,DICLOFENAC
INDOMETHACIN,ASPIRIN
HYDROCORTISONE ACETATE,SALICYLATES
HYDROCORTISONE ACETATE,TYRAMINE
HYDROCORTISONE ACETATE,ASPIRIN
VANCOMYCIN HYDROCHLORIDE,HISTAMINE
VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN
LORAZEPAM,HISTAMINE
ESOMEPRAZOLE MAGNESIUM,AMOXICILLIN
ESOMEPRAZOLE MAGNESIUM,CLARITHROMYCIN
ESOMEPRAZOLE MAGNESIUM,PHENOL
RANOLAZINE,CLARITHROMYCIN
RANOLAZINE,ERYTHROMYCIN
SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,CALCIUM
SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,CARBONATE
SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,BICARBONATE
SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,LACTIC ACID
CHOLESTYRAMINE LIGHT,PHOSPHATE
CHOLESTYRAMINE LIGHT,TYRAMINE
CHOLESTYRAMINE LIGHT,PENICILLIN
PAROXETINE HYDROCHLORIDE HEMIHYDRATE,AMPHETAMINES
PAROXETINE HYDROCHLORIDE HEMIHYDRATE,HEPARIN
PAROXETINE HYDROCHLORIDE HEMIHYDRATE,ASPIRIN
DEXTROAMPHETAMINE SACCHARATE AMPHETAMINE ASPARTATE DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE,AMPHETAMINES
DEXTROAMPHETAMINE SACCHARATE AMPHETAMINE ASPARTATE DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE,PHOSPHATE
DEXTROAMPHETAMINE SACCHARATE AMPHETAMINE ASPARTATE DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE,TRAMADOL
DEXTROAMPHETAMINE SACCHARATE AMPHETAMINE ASPARTATE DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE,CARBONATE
DEXTROAMPHETAMINE SACCHARATE AMPHETAMINE ASPARTATE DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE,BICARBONATE
DEXTROAMPHETAMINE SACCHARATE AMPHETAMINE ASPARTATE DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE,HISTAMINE
DEXTROAMPHETAMINE SACCHARATE AMPHETAMINE ASPARTATE DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE,FENTANYL
LANSOPRAZOLE,AMOXICILLIN
LANSOPRAZOLE,CLARITHROMYCIN
LANSOPRAZOLE,PHENOL
ZOLEDRONIC ACID,CALCIUM
TETRACYCLINE HYDROCHLORIDE,CALCIUM
TETRACYCLINE HYDROCHLORIDE,CARBONATE
TETRACYCLINE HYDROCHLORIDE,BICARBONATE
TETRACYCLINE HYDROCHLORIDE,TETRACYCLINES
TETRACYCLINE HYDROCHLORIDE,ALUMINUM
TETRACYCLINE HYDROCHLORIDE,PENICILLIN
EPTIFIBATIDE,HEPARIN
EPTIFIBATIDE,ASPIRIN
ATORVASTATIN CALCIUM,CALCIUM
ATORVASTATIN CALCIUM,CLARITHROMYCIN
ATORVASTATIN CALCIUM,ERYTHROMYCIN
ACETAMINOPHEN AND CODEINE PHOSPHATE,MORPHINE
ACETAMINOPHEN AND CODEINE PHOSPHATE,PHOSPHATE
ACETAMINOPHEN AND CODEINE PHOSPHATE,TRAMADOL
ACETAMINOPHEN AND CODEINE PHOSPHATE,ERYTHROMYCIN
ACETAMINOPHEN AND CODEINE PHOSPHATE,BUPRENORPHINE
ACETAMINOPHEN AND CODEINE PHOSPHATE,CODEINE
VALSARTAN,HEPARIN
LISINOPRIL AND HYDROCHLOROTHIAZIDE TABLETS,TYRAMINE
LISINOPRIL AND HYDROCHLOROTHIAZIDE TABLETS,NITRATES
DOXYCYCLINE,CALCIUM
DOXYCYCLINE,TETRACYCLINES
DOXYCYCLINE,ALUMINUM
DOXYCYCLINE,DOXYCYCLINE
DOXYCYCLINE,PENICILLIN
TAMSULOSIN HYDROCHLORIDE,ERYTHROMYCIN
ROPINIROLE HYDROCHLORIDE,CIPROFLOXACIN
URSODIOL,ALUMINUM
URSODIOL,TYRAMINE
PRAVASTATIN SODIUM,CLARITHROMYCIN
PRAVASTATIN SODIUM,AZITHROMYCIN
PRAVASTATIN SODIUM,ERYTHROMYCIN
PRAVASTATIN SODIUM,TYRAMINE
PRAVASTATIN SODIUM,MACROLIDES
CLONIDINE HYDROCHLORIDE,CALCIUM
TADALAFIL,ALUMINUM
TADALAFIL,ERYTHROMYCIN
TADALAFIL,ASPIRIN
TADALAFIL,NITRATES
AMOXICILLIN AND CLAVULANATE POTASSIUM,AMOXICILLIN
BACLOFEN INJECTION,MORPHINE
CEFAZOLIN,CEPHALOSPORINS
NORGESTIMATE AND ETHINYL ESTRADIOL,SALICYLIC ACID
NORGESTIMATE AND ETHINYL ESTRADIOL,MORPHINE
CELECOXIB,SALICYLATES
CELECOXIB,DICLOFENAC
CELECOXIB,ASPIRIN
FINASTERIDE,SALICYLIC ACID
FINASTERIDE,CALCIUM
FINASTERIDE,NITRATES
SILDENAFIL CITRATE,NITRITES
SILDENAFIL CITRATE,ERYTHROMYCIN
SILDENAFIL CITRATE,NITRATES
DOXEPIN HYDROCHLORIDE,HISTAMINE
LISINOPRIL AND HYDROCHLOROTHIAZIDE,TYRAMINE
LISINOPRIL AND HYDROCHLOROTHIAZIDE,NITRATES
DIPHENHYDRAMINE HYDROCHLORIDE,HISTAMINE
LIDOCAINE,SALICYLIC ACID
LIDOCAINE,ARTICAINE
LIDOCAINE,NITRITES
LIDOCAINE,BUPIVACAINE
LIDOCAINE,BENZOCAINE
LIDOCAINE,LIDOCAINE
LIDOCAINE,PROCAINE
LIDOCAINE,SULFONAMIDES
LIDOCAINE,PRILOCAINE
LIDOCAINE,NITRATES
BUPIVACAINE HYDROCHLORIDE,NITRITES
BUPIVACAINE HYDROCHLORIDE,NITRATES
ESZOPICLONE,CLARITHROMYCIN
ESZOPICLONE,ETHANOL
TIZANIDNE HYDROCHLORIDE,CIPROFLOXACIN
TIZANIDNE HYDROCHLORIDE,FLUOROQUINOLONES
PREGABALIN,ETHANOL
CARVEDILOL,CALCIUM
DOXYCYCLINE HYCLATE,CALCIUM
DOXYCYCLINE HYCLATE,TETRACYCLINES
DOXYCYCLINE HYCLATE,ALUMINUM
DOXYCYCLINE HYCLATE,DOXYCYCLINE
DOXYCYCLINE HYCLATE,PENICILLIN
CODEINE SULFATE,MORPHINE
CODEINE SULFATE,TRAMADOL
CODEINE SULFATE,ERYTHROMYCIN
CODEINE SULFATE,BUPRENORPHINE
CODEINE SULFATE,CODEINE
CITALOPRAM HYDROBROMIDE,AMPHETAMINES
ISOTRETINOIN,TETRACYCLINES
METFORMIN HYDROCHLORIDE,CALCIUM
METFORMIN HYDROCHLORIDE,CARBONATE
METFORMIN HYDROCHLORIDE,BICARBONATE
METFORMIN HYDROCHLORIDE,LACTIC ACID
POTASSIUM CITRATE,CITRATE
PENICILLIN G BENZATHINE,PENICILLIN
ESTRADIOL,IODINE
PROPRANOLOL HYDROCHLORIDE,CALCIUM
PROPRANOLOL HYDROCHLORIDE,LIDOCAINE
DICYCLOMINE HYDROCHLORIDE,NITRITES
DICYCLOMINE HYDROCHLORIDE,HISTAMINE
DICYCLOMINE HYDROCHLORIDE,NITRATES
ENOXAPARIN SODIUM,SALICYLIC ACID
ENOXAPARIN SODIUM,SALICYLATES
CYCLOBENZAPRINE HYDROCHLORIDE,TRAMADOL
PANTOPRAZOLE SODIUM,PHENOL
CHENODIOL,ALUMINUM
CHENODIOL,TYRAMINE
ATORVASTATIN FILM COATED,CALCIUM
ATORVASTATIN FILM COATED,CLARITHROMYCIN
ATORVASTATIN FILM COATED,ERYTHROMYCIN
POMALIDOMIDE,CIPROFLOXACIN
BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE,SALICYLATES
BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE,TYRAMINE
BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE,ASPIRIN
ESMOLOL HYDROCHLORIDE,CALCIUM
FLUDARABINE PHOSPHATE,PHOSPHATE
SODIUM CHLORIDE CALCIUM CHLORIDE AND POTASSIUM CHLORIDE,CALCIUM
EPINEPHRINE,HISTAMINE
EPINEPHRINE,NITRATES
VENLAFAXINE,ASPIRIN
VENLAFAXINE,ETHANOL
OLMESARTAN MEDOXOMIL HYDROCHLOROTHIAZIDE,TYRAMINE
SUCCINYLCHOLINE CHLORIDE,CARBONATE
SUCCINYLCHOLINE CHLORIDE,LIDOCAINE
SUCCINYLCHOLINE CHLORIDE,PENICILLIN
PENTAZOCINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE,TRAMADOL
PENTAZOCINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE,BUPRENORPHINE
SERTRALINE HYDROCHLORIDE,AMPHETAMINES
SERTRALINE HYDROCHLORIDE,HEPARIN
SERTRALINE HYDROCHLORIDE,ERYTHROMYCIN
ROCURONIUM BROMIDE,CARBONATE
ROCURONIUM BROMIDE,TETRACYCLINES
ROCURONIUM BROMIDE,VANCOMYCIN
NABUMETONE,ALUMINUM
NABUMETONE,ASPIRIN
METOPROLOL SUCCINATE ER TABLETS,CALCIUM
TRETINOIN,SALICYLIC ACID
TRETINOIN,RESORCINOL
FUROSEMIDE,SALICYLIC ACID
FUROSEMIDE,SALICYLATES
HYDROCHLOROTHIAZIDE,TYRAMINE
ESMOLOL HYDROCHLORIDE IN SODIUM CHLORIDE,CALCIUM
ESMOLOL HYDROCHLORIDE IN SODIUM CHLORIDE,SODIUM CHLORIDE
GABAPENTIN,SALICYLIC ACID
GABAPENTIN,MORPHINE
GABAPENTIN,ALUMINUM
GABAPENTIN,NAPROXEN
GABAPENTIN,BUPRENORPHINE
TIZANIDINE,CIPROFLOXACIN
