drug_code,interactions
67105161,67813445;66286011;61823354;63173930;62869109;67105161;61740691;69536826;63784708;62448875;62368639;68352264;62160702;69831794;61266250;69641873;65476666;67088865;68401067;65329132;64941258;60599533;65512856;63744998;60030980;69584479;62701346;67119257;63686057;61214830;69205527
61706205,66286011;61823354;60196977;66004451;63173930;65683309;63202499;67716786;61706205;61540502;68601712;62448875;66315349;60853152;69641873;61266250;61954108;68401067;60357359;65329132;68735825;64077212;63744998;69584479;65919752;67119257;63686057;67734275;69205527;61278936
65545895,60215623;67813445;61493903;61823354;62403531;69641873;60812344;60990140;68053454;65980246;65545895;67119257;65329132;62448875;69205527;60894334;69584479
67115586,61266250;63173930;64623818;67115586;69584479
61506592,67813445;66286011;61823354;65967124;69641873;63173930;61266250;60372215;68401067;67119257;69784280;61506592;65329132;62448875;68393478;67831952;69205527;69038811
65310242,67716786;65310242;61823354;69155138;69641873;63173930;61266250;68066715;65329132;67119257;62448875;61278936;60599533;61104024;66362555;69205527;68352264
67432348,66513085;67432348;63173930;66004451;61266250;61540502
61954108,61143618;61876780;62448875;69641873
60568235,67813445;66286011;61823354;63173930;63594630;67716786;62448875;69641873;61266250;61876780;60568235;68401067;65329132;60599533;61816438;69584479;66508394;65198099;63941294;68066715;67119257;69205527;64920036;61278936
68408115,66661714;67813445;61823354;65967124;69831794;61266250;63173930;69641873;62701346;67119257;69784280;68408115;62448875;69205527;69584479
67515025,64224801;66286011;67813445;61823354;68056062;60812344;63173930;68081197;60054077;63594630;62459156;68341392;67397826;62910207;69468186;65980246;65378663;62448875;68601712;68743715;67515025;66706942;68352264;65026434;64871233;69968095;69831794;62403531;69641873;61876780;61266250;65476666;66782153;68401067;69973167;65329132;60599533;61104024;67831952;69584479;60521926;65198099;63941294;66188581;60323481;62701346;69622809;67657035;67119257;68257528;68712716;69205527;64920036;61278936
67627711,61823354;66004451;63173930;68514951;67627711;67716786;64757532;68601712;62448875;68320252;69641873;61266250;62075038;65812106;65329132;60599533;69584479;65919752;69155138;66513085;67119257;69205527;61278936
67100659,66286011;63173930;61143618;68053454;65980246;69087107;68601712;67377300;61986853;68728154;61266250;69641873;67088865;61876780;68401067;64941258;60599533;61104024;67100659;65198099;69155138;67119257;63686057;67515484;69205527;63152345
66661714,63173930;66835549;69641873
68514951,66286011;61823354;60196977;66004451;63173930;68514951;65545105;63439854;63594630;61335351;67397826;67716786;64061788;61823589;60244525;60990140;62448875;66835549;69831794;61266250;69641873;65476666;69174918;61699593;68401067;63604430;60357359;65329132;63089749;60599533;67831952;67699931;64043587;65919752;66188581;66362555;67656403;62701346;67119257;67515484;61278936
67515484,67813445;66286011;61823354;66004451;63173930;65362239;66793609;67716786;65980246;68601712;62448875;68352264;62160702;61266250;61876780;69641873;65476666;67088865;68401067;60357359;65329132;60599533;67831952;69584479;67100659;69155138;67656403;67119257;68257528;67515484;69205527;68045361;61278936
68743715,64285537;66286011;67813445;61823354;63173930;60628554;62448875;68743715;67377300;69641873;61266250;68401067;65329132;64941258;69584479;66500636;67734275;67119257;63686057;61278936
65545895,60215623;67813445;61493903;61823354;62403531;69641873;60812344;60990140;68053454;65980246;65545895;67119257;65329132;62448875;69205527;60894334;69584479
68110962,64224801;66286011;67813445;61823354;60196977;65967124;63173930;66793609;60330522;63594630;65980246;68601712;62448875;65378663;66706942;68352264;61266250;69641873;61876780;68401067;66284708;60357359;68110962;60365078;60390455;60599533;69584479;65135519;63941294;66513085;69155138;67959838;67734275;67119257;66929607;66362555;69205527;65449480
60123363,65135519;67716786;60123363;61823354;69641873;63173930;61876780;61540502;65329132;67119257;67734275;60894334;65026434
66152667,67813445;66286011;61823354;60812344;63173930;62869109;60727755;67397826;65980246;61540502;65620419;62448875;68352264;64871233;69831794;69641873;61876780;61266250;67088865;68401067;65329132;60599533;67831952;66152667;69584479;61675902;65198099;66188581;69155138;66513085;62701346;69622809;66052179;67119257;63401330;69205527;61278936
66513085,
68748491,66286011;64623818;61823354;69594548;63173930;66004451;66793609;67627711;62158320;60244525;69536826;65980246;61540502;65378663;69784280;65461618;61124589;69355498;61266250;61876780;60568235;67423452;68401067;66246173;60599533;60010166;61104024;64201553;68748491;69584479;65135519;63941294;69155138;66513085;68080800;67119257;68712716;66362555;69205527;68045361
64495973,63173930;68083369;63085761;67468312;66525842;62869109;67627711;67716786;63699439;60372215;61345705;60853152;60568235;63531587;60599533;62907143;63409284;64495973;60323481;67656403;60105568
63699439,66286011;61823354;63173930;68601712;62448875;69205527;67173874;68352264;66578108;69641873;61266250;68401067;65329132;60599533;61104024;69584479;67119257;67734275;64623818;61278936;69152302
66595463,66286011;67813445;61823354;69155138;61266250;69641873;63078628;68401067;68110962;67119257;66595463;62448875;60390455
61493903,63173930;63744998
61639048,64285537;66286011;69364999;67813445;61823354;68056062;64224801;63173930;60628554;66004451;60196977;63594630;62459156;64913426;68053454;66738281;68601712;62448875;62155071;68352264;67377300;69641873;67088865;61266250;66782153;68401067;65329132;64941258;60599533;61104024;67831952;63744998;63909873;69584479;65919752;66500636;65198099;67119257;63686057;68712716;69205527;60894334;61639048;61278936
67115586,61266250;63173930;64623818;67115586;69584479
67164569,64623818;62403531;63173930;65476666;66004451;67119257;67351818;66442955;67164569;63744998;60894334
67937514,66286011;69594548;61823354;63173930;66004451;66793609;67937514;67627711;68053454;65980246;61540502;61266250;60568235;68401067;66246173;69584479;65919752;69155138;66513085;68080800;67119257;66362555;69205527;68045361;65449480;69152302
63755329,67813445;66286011;61823354;63173930;62869109;61740691;67105161;61975465;69536826;63755329;62448875;66835549;62368639;62160702;69831794;69641873;61266250;65476666;68401067;65329132;64941258;60599533;65512856;63744998;60030980;69584479;65198099;62701346;67119257;63686057;61214830;69205527;69697199;62484138
63587319,67813445;63587319;61823354;63941294;69641873;63173930;61266250;61876780;65812106;67119257;66793609;62448875;63594630;60599533;68601712;63305905;61278936;69584479
69622809,67813445;61823354;63941294;69155138;61876780;63173930;69641873;69622809;65329132;67119257;62448875;63594630;66152667;69205527;69584479
60137021,61823354;61266250;63173930;69641873;60137021;60568235;65329132;67119257;67734275;62448875;60599533;69205527;60894334;67627711
61706205,66286011;61823354;60196977;66004451;63173930;65683309;63202499;67716786;61706205;61540502;62448875;65026434;66315349;60853152;69641873;61266250;61954108;68401067;60357359;65329132;68735825;63744998;69584479;65919752;67119257;63686057;67734275;69205527;61278936
62650834,66286011;67813445;61823354;63173930;66004451;63594630;62448875;69038811;68352264;62160702;69831794;69641873;61266250;65476666;68401067;60357359;62650834;65329132;60599533;64275824;69401508;69584479;66188581;69155138;62701346;67119257;68393478;69205527
67627711,61124589;66286011;61823354;69594548;69641873;63173930;61540502;65329132;67119257;63058682;62448875;67627711
62459245,66661714;67813445;66286011;61823354;69641873;61266250;63173930;68401067;65329132;67119257;62448875;60599533;61104024;61278936;62459245;61989835
67627711,61124589;66286011;61823354;69594548;69584479;69641873;61266250;63173930;61540502;65329132;67119257;63058682;62448875;61278936;68045361;63076463;67627711
68401067,66362555;67351818;69584479;61266250
63676077,65135519;66286011;67813445;60377116;69155138;69641873;63173930;69998003;68514951;68401067;67119257;69205527;62448875;60599533;68990612;63676077;68341392;69584479
68514951,66286011;61823354;63173930;68514951;69103878;62869109;61975465;64210260;61540502;62448875;69968095;64871233;65329132;69321040;60599533;65919752;61614600;67734275;67119257;66362555;69205527;61278936
65135519,64285537;69364999;66286011;63173930;60628554;64564711;64210260;61540502;62448875;67377300;64871233;61266250;68401067;65014229;64495973;69584479;65135519;66500636;65532702;69155138;67119257;67734275;69205527;60894334
60568235,67716786;61823354;69641873;60568235;67119257;65329132;60599533;67173874;68352264
63873893,66286011;67813445;61823354;63173930;67716786;61975465;62448875;63054335;66578108;62160702;64980414;61266250;69641873;66207619;60568235;68401067;63604430;67971897;60390455;60599533;65708755;69584479;66188581;69155138;67656403;62701346;67119257;66362555;69205527;63873893;61278936
68320252,62824288;67716786;68320252;60853152;61876780;63173930;61266250;69155138;65980246;67119257;68257528;68601712;62756524;69205527;69584479
60568235,67813445;66286011;61823354;63173930;63594630;67716786;62448875;69641873;61266250;61876780;60568235;68401067;65329132;60599533;61816438;69584479;66508394;65198099;63941294;68066715;67119257;69205527;61278936
62459245,67813445;66286011;61823354;69155138;69641873;61266250;63173930;69584479;68401067;65329132;67119257;62448875;60599533;61104024;61278936;61989835
65135519,65135519;69155138;63173930;67119257;69584479
64495973,66525842;65329132;67656403;63173930
64495973,67716786;61345705;60853152;63699439;60323481;68083369;60568235;60372215;63085761;67468312;60105568;63531587;62907143;63409284;64495973
66855936,67813445;65967124;69155138;69641873;63173930;62701346;67119257;69784280;62448875;66855936;69205527
64495973,66286011;63173930;68083369;63085761;67468312;62869109;67716786;63699439;60372215;67173874;61345705;60853152;60568235;69339049;63531587;62907143;61104024;63409284;64495973;69584479;60323481;67119257;60105568
61300005,67813445;66286011;61823354;66004451;65545105;68514951;63173930;63594630;61278936;67716786;64061788;69536826;61540502;68601712;62448875;64512668;68352264;69831794;69641873;61876780;61266250;68401067;65329132;60599533;69584479;66188581;63941294;69155138;68066715;67656403;62701346;67119257;69205527;60894334;64920036;66782153
65803349,67813445;66286011;61823354;63173930;62991472;62448875;68352264;61989835;61266250;69641873;61876780;68401067;65329132;67831952;62676633;69584479;69155138;65803349;69205527
61111556,66286011;63173930;66004451;60997882;67627711;61540502;61989835;66661714;61266250;65476666;68401067;61104024;69584479;65919752;66500636;62701346;68080800;67119257;66362555
64233693,66286011;63173930;66004451;60997882;67627711;61540502;62638974;61989835;66661714;69831794;61266250;65476666;68401067;63281870;60357359;62650834;62036900;61104024;69584479;65919752;66500636;66188581;62701346;68805280;68080800;67119257;66362555;63713650
64281631,66661714;61493903;69641873;63173930;65329132;60599533;64281631
60568235,66286011;61823354;62885889;63173930;66793609;69103878;67627711;67716786;62448875;67351818;68352264;66661714;69968095;69641873;60568235;68401067;69339049;65329132;60599533;69584479;67119257;66362555;60894334;61278936
61854766,65135519;67813445;61823354;69155138;69641873;63173930;61266250;61989835;65329132;67119257;62448875;60599533;61104024;61854766;69205527;63909873;61278936;69584479
65310242,67716786;65310242;61823354;69155138;69641873;63173930;61266250;68066715;65329132;67119257;62448875;61278936;60599533;61104024;66362555;69205527;68352264
62538618,63020144;64224801;67813445;66286011;61823354;65967124;61564058;60812344;63173930;66004451;62363802;68056062;62538618;61143618;66793609;60054077;69103878;62869109;61348523;67397826;67627711;68712716;64210260;62910207;63930084;68053454;65980246;66567115;68601712;69784280;68743715;62155071;69545330;68352264;61989835;62160702;69355498;61266250;61876780;67088865;62679978;68401067;60357359;65329132;60599533;67831952;61104024;64146936;63909873;62672834;67699931;61578296;69584479;67320609;60443192;65317895;63374716;65198099;66513085;60153239;69998003;68080800;62701346;67119257;68257528;63686057;62003633;69205527;64920036;61278936;63152345
68045361,67813445;66286011;61823354;63173930;66004451;66793609;67627711;67716786;62158320;65980246;61540502;62448875;68352264;65026434;69968095;69641873;61266250;68401067;65329132;60599533;69584479;69155138;66513085;68080800;67119257;66362555;69205527;68045361;61278936
61740691,66286011;63173930;63594630;62869109;67105161;61740691;64913426;69536826;65980246;62368639;62160702;61266250;61876780;68401067;60599533;65512856;63744998;60030980;69584479;63941294;67119257;61214830;69205527;61278936
68728154,66286011;67813445;61823354;67888889;69364999;63173930;62538618;66793609;67713249;63644827;61975465;68053454;69087107;65535851;62448875;61094142;68743715;67377300;68728154;69641873;61266250;65812106;61954108;68401067;65329132;67971897;60599533;69584479;67856966;65198099;69998003;62779793;67119257;63305905;61278936
67527248,64224801;66286011;68056062;61823354;67813445;63173930;61143618;66793609;69103878;63594630;67527248;60099738;65231841;62869109;65340488;67397826;63930084;64210260;69536826;63558577;63784708;69784280;62448875;68352264;62160702;61070419;66661714;61174492;62403531;69641873;67088865;65476666;60568235;61266250;61876780;68401067;62679978;60357359;65329132;60599533;60010166;61816438;61792923;63744998;67699931;62672834;69584479;61675902;65198099;67119257;68712716;69205527;64920036;61278936;69152302
60568235,60568235
62262276,63020144;64224801;66286011;62262276;61823354;65967124;67813445;68056062;63173930;68097237;66793609;67468312;63594630;62869109;61278936;67627711;62448875;61066196;68352264;66578108;61986853;69641873;61266250;65476666;60568235;61876780;68401067;65329132;64941258;60599533;67831952;64275824;62672834;69584479;65198099;63941294;69155138;64457570;67119257;68393478;68255655;68712716;69205527;66782153
67627711,61124589;66286011;61823354;69594548;69641873;63173930;61540502;65329132;67119257;63058682;62448875;68045361;61278936;67627711
68743715,64285537;66286011;67813445;61823354;63173930;60628554;62448875;68743715;67377300;69641873;61266250;68401067;65329132;64941258;69584479;66500636;69155138;67734275;67119257;63686057;60894334
60457719,64224801;67813445;66286011;61823354;68056062;64876209;64493890;63173930;66004451;65967124;68097237;62991472;69103878;63594630;62459156;62869109;64210260;62505828;66921927;68053454;63784708;68601712;62448875;61066196;68352264;66578108;62160702;62403531;61266250;69641873;61876780;67088865;68401067;60357359;65329132;60005856;64941258;60599533;61816438;67831952;60596010;60457719;69584479;61675902;65198099;63941294;69155138;66513085;68080800;67119257;63686057;68712716;69205527;64920036;61278936
65245613,66286011;61823354;66004451;63173930;61540502;62448875;68352264;61989835;66661714;69641873;61266250;61954108;68401067;65245613;65329132;63031888;60599533;69584479;65919752;67734275;67119257;69205527;61278936
68748491,66286011;64623818;61823354;69594548;63173930;66004451;66793609;67627711;62158320;60244525;69536826;65980246;61540502;65378663;69784280;65461618;61124589;69355498;61266250;61876780;60568235;67423452;68401067;66246173;60599533;60010166;61104024;64201553;68748491;69584479;65135519;63941294;69155138;66513085;68080800;67119257;68712716;66362555;69205527;68045361
66148697,66286011;61823354;69594548;63173930;66004451;66793609;67627711;65980246;61540502;62448875;68352264;69641873;67088865;60568235;68401067;66246173;65329132;60599533;61104024;69584479;66513085;66148697;68080800;67119257;66362555;69205527;68045361;61278936
65449480,63020144;63173930;61871331;66793609;67627711;67716786;69536826;64757532;68601712;61989835;69968095;61266250;61876780;63058682;60390455;63744998;69584479;67119257;66362555;69205527;65449480
68045361,69355498;66286011;62158320;67627711;69536826;66004451;63173930;61266250;67423452;68401067;61540502;67119257;66793609;60010166;65461618;64623818;68045361;69584479
63173930,66286011;63173930;60628554;63594630;64098181;66661714;64771724;69641873;61266250;60568235;68401067;60357359;69584479;66500636;65198099;67119257;67734275;68393478;69205527;60894334
67627711,61823354;66004451;63173930;68514951;67627711;67716786;64757532;62448875;68320252;69641873;61266250;62075038;65812106;65329132;60599533;69584479;65919752;69155138;66513085;67119257;69205527;61278936
60123363,65135519;67716786;60123363;61823354;69641873;63173930;61876780;61540502;65329132;67119257;67734275;60894334;65026434
60568235,67813445;66286011;61823354;63173930;63594630;67716786;69536826;62448875;68352264;69641873;61876780;61266250;60568235;68401067;65329132;60599533;69584479;63941294;68066715;67119257;64920036;61278936
